qsort CPU 0.033042
set inverses CPU 0.019948
Scaling parameter is 1024
499<-96<-161<-0 adds 8 incremental flow
499<-152<-169<-0 adds 8 incremental flow
499<-122<-179<-0 adds 9 incremental flow
499<-88<-197<-0 adds 11 incremental flow
499<-304<-213<-0 adds 10 incremental flow
499<-129<-262<-0 adds 9 incremental flow
499<-194<-280<-0 adds 11 incremental flow
499<-236<-283<-0 adds 9 incremental flow
499<-298<-292<-0 adds 9 incremental flow
499<-466<-292<-0 adds 11 incremental flow
499<-228<-293<-0 adds 9 incremental flow
499<-159<-306<-0 adds 9 incremental flow
499<-341<-306<-0 adds 8 incremental flow
499<-163<-314<-0 adds 13 incremental flow
499<-469<-316<-0 adds 14 incremental flow
499<-483<-316<-0 adds 11 incremental flow
499<-246<-317<-0 adds 8 incremental flow
499<-357<-322<-0 adds 14 incremental flow
499<-390<-344<-0 adds 8 incremental flow
499<-302<-394<-0 adds 9 incremental flow
499<-375<-416<-0 adds 12 incremental flow
Scaling parameter is 4
499<-234<-0 adds 5 incremental flow
499<-130<-38<-0 adds 6 incremental flow
499<-31<-58<-0 adds 4 incremental flow
499<-96<-59<-0 adds 5 incremental flow
499<-4<-63<-0 adds 4 incremental flow
499<-84<-109<-0 adds 4 incremental flow
499<-129<-147<-0 adds 5 incremental flow
499<-211<-181<-0 adds 5 incremental flow
499<-23<-188<-0 adds 5 incremental flow
499<-14<-196<-0 adds 5 incremental flow
499<-117<-198<-0 adds 5 incremental flow
499<-246<-217<-0 adds 4 incremental flow
499<-274<-219<-0 adds 4 incremental flow
499<-171<-230<-0 adds 5 incremental flow
499<-335<-233<-0 adds 6 incremental flow
499<-218<-271<-0 adds 5 incremental flow
499<-259<-278<-0 adds 5 incremental flow
499<-409<-290<-0 adds 6 incremental flow
499<-378<-293<-0 adds 5 incremental flow
499<-212<-306<-0 adds 7 incremental flow
499<-252<-316<-0 adds 7 incremental flow
499<-426<-322<-0 adds 5 incremental flow
Scaling parameter is 2
499<-487<-58<-0 adds 3 incremental flow
499<-3<-59<-0 adds 2 incremental flow
499<-194<-82<-0 adds 2 incremental flow
499<-12<-112<-0 adds 2 incremental flow
499<-20<-125<-0 adds 2 incremental flow
499<-108<-181<-0 adds 2 incremental flow
499<-218<-196<-0 adds 2 incremental flow
499<-60<-293<-0 adds 3 incremental flow
499<-53<-306<-0 adds 2 incremental flow
499<-171<-314<-0 adds 2 incremental flow
499<-155<-330<-0 adds 2 incremental flow
